Minuts_From_Start,[0:20],[0:21],[0:24],[0:25],[0:26],[0:45],[0:46],[0:50],[0:53],[0:54],[0:70],[0:73],[0:74],[0:109],[0:112],[0:113],[0:145],[0:146],[0:151],[0:152],[0:160],[0:161],[0:166],[0:167],[0:175],[0:176],[0:181],[0:182],[0:204],[0:211],[0:212],[0:226],[0:230],[0:251],[0:258],[0:259],[0:273],[0:277],[0:298],[0:305],[0:306],[0:320],[0:324],[0:346],[0:347],[0:352],[0:353],[0:355],[0:363],[0:367],[0:479],[0:480]
0,4.83565,10.1852,29917.2,4.7662,16.2616,-55.7292,-155.295,0.464844,-123.438,-173.438,37.037,3.40972,4.71354,41.6377,3.11111,6.43808,13.1597,4.14063,46.7882,2.47396,13.1481,4.6441,46.5567,1.76505,13.1829,3.94097,50.3762,0.824653,4.85,104.7,51.2,3.79,33.3,4.86,86,53.2,3.72,33.3,4.88,101.1,54.1,3.71,33.3,13.22,2.32,86.1,52.4,65.5,1.11,3.81,86.8056,27806.7
5,4.84954,10.1852,30026.7,4.77778,16.2037,-55.7292,-155.295,0.466406,-123.264,-173.351,37.037,3.41319,4.72222,41.5509,3.11806,6.45544,13.2523,3.96701,46.7014,2.48843,13.3333,4.79167,46.412,1.80845,13.1944,4.07986,50.3472,0.853588,4.87,105.1,51.1,3.48,33.3,4.87,85.8,53.2,3.41,33.2,4.9,101.7,54,3.4,33.3,13.04,2.34,86.4,52.3,65.4,1.11,3.51,86.8056,27864.6
10,4.84954,10.1128,30034.2,4.77778,16.059,-55.7292,-155.295,0.467969,-123.003,-173.177,36.8924,3.41319,4.72222,41.522,3.11806,6.45544,13.206,4.26794,46.8461,2.48843,13.1366,4.60069,46.4699,1.82292,13.2523,3.8397,50.3183,0.78125,4.87,105.5,51.2,3.55,33.3,4.87,86.3,53.2,3.49,33.3,4.9,102.3,54,3.49,33.4,13.22,2.34,86.6,52.4,65.4,1.11,3.58,86.8056,27864.6
15,4.85417,10.1852,29862.5,4.78241,15.9433,-55.5556,-155.295,0.470313,-122.83,-173.09,36.9502,3.41146,4.7309,41.6956,3.11632,6.46701,14.7801,4.28819,46.7593,2.0978,14.7106,4.78877,46.412,1.64931,14.5949,4.04225,50.2315,0.78125,4.87,105,51.2,3.74,33.2,4.88,85.8,53.2,3.67,33.3,4.9,101.5,54,3.66,33.3,13.17,2.33,86.3,52.4,65.5,1.11,3.77,86.8056,27951.4
20,4.8588,10.1128,29592.9,4.78241,15.8275,-55.5556,-155.295,0.469531,-123.003,-173.09,36.8924,3.41146,4.7338,41.522,3.11632,6.46701,16.8634,4.06829,46.7593,2.011,16.8519,4.81771,46.1516,1.50463,16.7824,4.07118,50.0289,1.08507,4.88,104.8,51,3.49,33.1,4.88,85.7,53,3.42,33.1,4.9,101.2,53.9,3.41,33.2,13.04,2.34,86,52.2,65.4,1.11,3.52,86.8056,27864.6
25,4.86111,10.0405,30072.1,4.78472,15.6829,-55.5556,-155.208,0.470313,-122.83,-173.177,36.8924,3.41319,4.7338,41.4063,3.11979,6.46991,19.3519,4.01331,47.0486,2.18461,19.2245,4.80613,46.2095,1.88079,19.2708,4.00752,50.1736,0.969329,4.88,105,51.2,3.49,33.4,4.88,85.8,53.2,3.42,33.4,4.9,101.4,54,3.41,33.4,12.94,2.33,86,52.3,65.4,1.11,3.52,86.8056,27951.4
30,4.85417,10.0405,29760.3,4.78009,15.5961,-55.5556,-155.208,0.46875,-123.09,-173.177,36.8634,3.41146,4.72801,41.4931,3.11111,6.45544,21.7708,3.97859,47.0486,2.24248,21.6435,4.76563,46.3542,1.64931,21.6435,3.96991,50.2025,0.882523,4.87,104.4,51.1,3.7,33.1,4.87,85.2,53.1,3.63,33.2,4.89,100.9,54,3.63,33.2,12.87,2.33,85.5,52.3,65.4,1.11,3.73,86.8056,27864.6
35,4.86343,9.96817,29388.1,4.78935,15.5382,-55.7292,-155.208,0.46875,-123.177,-173.351,36.7766,3.41319,4.73669,41.4352,3.12326,6.46701,24.0972,3.94097,47.0486,2.41609,23.912,4.67014,46.5567,1.67824,23.8426,4.04225,50.0868,1.09954,4.88,105.1,51,3.47,33.1,4.89,84.1,53,3.41,33.1,4.91,99.6,53.8,3.41,33.1,12.77,2.33,84.3,52.2,65.3,1.1,3.5,86.8056,27806.7
40,4.86343,9.96817,29771.5,4.78935,15.4803,-55.5556,-155.295,0.469531,-123.09,-173.351,36.8634,3.41319,4.73669,41.3484,3.11979,6.46991,25.5324,3.93519,46.9907,2.37269,25.162,4.56018,46.6146,1.83738,25.1968,3.87442,50.2604,1.43229,4.88,105.6,51,3.59,33,4.89,86.1,53,3.53,33,4.9,101.7,53.8,3.52,33.1,12.77,2.33,86.7,52.1,65.3,1.11,3.62,86.8056,27806.7
45,4.87268,9.82349,30179.8,4.79398,15.3646,-55.5556,-155.295,0.470313,-123.003,-173.177,36.7766,3.41493,4.74248,41.4352,3.12847,6.47859,23.7384,3.9265,47.1354,2.44502,23.8079,4.53993,46.6146,1.82292,23.831,3.93519,50.4051,1.14294,4.89,105.6,51,3.77,33,4.89,86.2,53,3.71,33,4.91,101.9,53.8,3.68,33.1,12.71,2.34,86.4,52.1,65.3,1.1,3.79,86.8056,27864.6
